E1,1,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
E1,3,LOX Cart,3655011358852YD,2R7300,ECS/ELEC,1160,83,54,49,22  51,D3D,,Y,0
E1,5,GE 129 Eng TRL,1740007135908,2R2100,Jet Engine,5507,190,60,87,9,D2D,,N,0
E1,6,463L PLT (FS),,2G1100,ACFT Flight A,2080,88,108,68,,J3D,,N,0
E1,7,TRL Eng Double Stack ,1740007135908,22C100,Sortie Support Flt,4690,204,58,93,,J2D,,N,0
E1,8,Tank  Loader,173013558410,23F100,AGE,1560,236,53,76,,A2D,,N,0
,,S. Jack,1730223069002,,,,,,,,,,,
E1,11,ISU-60,,414400,SUP Mobility SEC,4030,88,108,60,,J3D,,N,0
E1,12,463L PLT (EMS),,23F100,AGE,1820,88,108,60,,J3D,,N,0
E1,14,Hydrazine Casket,1560010410546,2R7500,Fuel Systems,170,51,18,23,3  8  61,D3D,,N,0
E1,15,Hydrazine Casket,1560010410546,2R7500,Fuel Systems,170,51,18,23,3  8  61,D3D,,N,0
E1,16,Response TRL (CRS),,2R7500,Fuel Systems,2530,163,93,82,3  8  22  51,D2D,,N,0
E2,9,M32A-60A,6115004208486,23F100,AGE,3260,115,62,68,3  8  9,D2D,,N,0
E2,10,Nitrogen Cart,3655012906890,2R7300,ECS/ELEC,3540,130,60,64,22,L2D,,Y,0
S1,1,463L PLT (EMS),,2E4500,Non Destruction Inspection,5180,88,108,77,3  8  9,D3D,,N,0
S1,2,NF-2D Lite Cart,6230012240938,23F100,AGE,2040,105,68,68,3  8  9,L2D,,N,0
S1,4,M32A-60A,6115004208486,23F100,AGE,3430,120,62,88,3  8  9,L2D,,N,0
S1,5,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
S1,7,TRL Loaded (EMS),,2E3200,Armanent Systems,3530,167,56,71,,A2D,,N,0
S1,8,MJ-1,1730011237269,23F100,AGE,4200,154,48,42,3  8  9,L2D,,N,0
,,HYD Cart,4910008955394,,,,,,,,,,,
S1,9,TRL Loaded (EMS),,2E3200,Armanent Systems,3535,167,56,71,,A2D,,N,0
S1,10,463L PLT (FS),,2G1100,ACFT Flight A,7100,88,108,96,,J3D,,N,0
S1,11,463L PLT,,2G1100,ACFT Flight A,5500,88,108,96,,J3D,,N,0
S1,12,M32A-60A,6115004208486,23F100,AGE,3430,120,62,68,3  8  9,L2D,,N,0
S1,13,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
S1,14,NF-2D Lite Cart,6230012240938,23F100,AGE,2040,105,68,68,3  8  9,L2D,,N,0
S1,16,MC-2A Air Comp,4310010820818,23F100,AGE,860,90,47,39,3  8  9,L2D,,N,0
S1,17,LOX Cart,3655011358852YD,2R7300,ECS/ELEC,1160,83,54,49,22  51,D3D,,Y,0
S1,18,B-4 Stand,1730002948883,23F100,AGE,710,107,53,85,,A2D,,N,0
,,C-1 Stand,1730003952781,,,,,,,,,,,
S1,19,Towbar/shoring,1730006408080,23F100,AGE,500,170,58,32,,A2D,,N,0
S1,20,MJ-4 Bomblift,1730011237270,23F100,AGE,6750,1740,77,40,3  8  9,L2D,,N,0
S1,21,NF-2D Lite Cart,6230012240938,23F100,AGE,2040,105,68,68,3  8  9,L2D,,N,0
S1,23,M32A-60A,6115004208486,23F100,AGE,3430,120,62,68,3  8  9,L2D,,N,0
S1,24,M32A-60A,6115004208486,23F100,AGE,3430,120,62,68,3  8  9,L2D,,N,0
S1,25,463L PLT,,414400,SUP Mobility SEC,7730,88,108,86,,J3D,,N,0
S1,27,MJ-2A Test Stand,1730006408080,23F100,AGE,6440,117,76,74,3  8  9,L2D,,N,0
S1,28,MJ-4 Bomblift,1730011237270,23F100,AGE,6880,174,77,40,3  8  9,D2D,,N,0
S1,29,H-1 Heater,4520013100691,23F100,AGE,900,99,53,44,3  8  9,L2D,,N,0
S1,30,NF-2D Lite Cart,6230012240938,23F100,AGE,2660,104,68,68,3  8  9,D2D,,N,0
S1,33,H-1 Heater,4520013100691,23F100,AGE,900,99,53,44,3  8  9,L2D,,N,0
S1,34,B-4 Stand,1730002948883,23F100,AGE,710,96,53,85,,A2D,,N,0
,,C-1 Stand,1730003952781,,,,,,,,,,,
S1,35,NF-2D Lite Cart,6230012240938,23F100,AGE,2660,104,68,68,3  8  9,D2D,,N,0
S1,36,M32A-60A,6115004208486,23F100,AGE,3430,120,62,68,3  8  9,L2D,,N,0
S1,38,MJ-1,1730011237269,23F100,AGE,4360,147,52,50,3  8  9,L2D,,N,0
,,HYD Cart,4910008955394,,,,,,,,,,,
S1,39,ISU-90,,414400,SUP Mobility SEC,4050,88,108,90,,J3D,,N,0
S1,40,463L PLT,,414400,SUP Mobility SEC,6010,88,108,86,,J3D,,N,0
S1,42,MC-1A Comp,4310010600642,23F100,AGE,2100,81,67,60,3  8  9,L3D,,N,0
S1,44,NF-2D Lite Cart,6230012240938,23F100,AGE,2660,104,68,68,3  8  9,D2D,,N,0
S1,45,B-1 Stand,1730002948883,23F100,AGE,710,96,53,85,,A2D,,N,0
,,C-1 Stand,1730003952781,,,,,,,,,,,
S1,46,Cabin Pressure Tester,4920003479455,23F100,AGE,3340,110,61,67,3  8  9,L2D,,N,0
S1,47,Tank  Loader,1730013558410,23F100,AGE,1100,169,53,36,,A2D,,N,0
,,S. Jack,1730223069002,,,,,,,,,,,
S1,50,463L PLT (Life Support),,31C100,Life Support,308,88,108,76,99X,D3D,,N,0
S1,51,463L PLT (Intel),,310000,Operations,7480,88,108,76,8,J3D,,N,0
